datetime,timestamp,open,high,low,close,volume
2025-06-12 21:00:00,1749762000000,106026.21,106483.89,105901.96,105941.7,213.80287459
2025-06-12 22:00:00,1749765600000,105939.96,106293.87,105766.0,105935.72,234.70032649
2025-06-12 23:00:00,1749769200000,105935.59,106197.45,105706.78,105721.05,201.56990977
2025-06-13 00:00:00,1749772800000,105716.45,105741.54,103270.54,103859.25,1042.8941332
2025-06-13 01:00:00,1749776400000,103859.25,103959.3,102746.01,103864.3,702.70438161
2025-06-13 02:00:00,1749780000000,103860.08,104050.56,103132.22,103707.88,502.22163814
2025-06-13 03:00:00,1749783600000,103707.87,104701.73,103674.54,104372.23,346.81072763
2025-06-13 04:00:00,1749787200000,104363.01,104592.54,103846.74,104483.43,203.56023977
2025-06-13 05:00:00,1749790800000,104477.61,104539.41,104070.7,104080.2,137.61660553
2025-06-13 06:00:00,1749794400000,104080.17,104800.0,103900.8,104781.66,189.16237714
2025-06-13 07:00:00,1749798000000,104781.66,105000.0,104429.28,104946.46,226.76386532
2025-06-13 08:00:00,1749801600000,104946.47,105500.0,104731.79,104782.69,244.89807023
2025-06-13 09:00:00,1749805200000,104782.24,104986.97,104545.55,104887.74,158.62693466
2025-06-13 10:00:00,1749808800000,104887.71,104979.5,104471.03,104925.48,156.29865497
2025-06-13 11:00:00,1749812400000,104930.93,105116.99,104690.03,105099.63,144.49187708
2025-06-13 12:00:00,1749816000000,105099.63,105358.16,104880.0,104914.44,171.07824926
2025-06-13 13:00:00,1749819600000,104914.45,105373.53,104719.01,104790.71,365.03245574
2025-06-13 14:00:00,1749823200000,104796.86,105067.4,104150.0,105015.03,375.23976601
2025-06-13 15:00:00,1749826800000,105017.27,105825.22,104907.5,105503.6,695.92624556
2025-06-13 16:00:00,1749830400000,105503.6,106041.61,105353.73,105851.59,391.30332932
2025-06-13 17:00:00,1749834000000,105851.59,105851.59,104932.12,105443.1,260.80842829
2025-06-13 18:00:00,1749837600000,105443.09,105550.64,104699.57,105236.87,378.38062115
2025-06-13 19:00:00,1749841200000,105240.81,105500.0,104942.28,105153.75,219.6500262
2025-06-13 20:00:00,1749844800000,105164.62,105569.28,105055.36,105480.93,195.86684528
2025-06-13 21:00:00,1749848400000,105480.92,105848.85,105371.61,105669.7,101.67024475
2025-06-13 22:00:00,1749852000000,105669.68,105911.03,105594.05,105805.36,106.97547638
2025-06-13 23:00:00,1749855600000,105805.36,106233.0,105805.36,106118.7,123.54346591
2025-06-14 00:00:00,1749859200000,106114.53,106264.36,105733.07,105860.44,257.279268
2025-06-14 01:00:00,1749862800000,105860.12,105860.12,105481.69,105520.65,101.43743399
2025-06-14 02:00:00,1749866400000,105520.94,105676.05,105373.01,105442.14,45.78827887
2025-06-14 03:00:00,1749870000000,105442.14,105516.01,105251.34,105296.44,40.76293822
2025-06-14 04:00:00,1749873600000,105296.44,105475.47,105269.12,105425.45,59.96031904
2025-06-14 05:00:00,1749877200000,105425.46,105471.93,105300.33,105342.51,46.2396908
2025-06-14 06:00:00,1749880800000,105342.5,105394.92,105157.55,105157.55,58.42811447
2025-06-14 07:00:00,1749884400000,105155.89,105200.89,104836.25,105126.03,77.51933537
2025-06-14 08:00:00,1749888000000,105126.03,105194.28,104914.98,105154.95,23.63858461
2025-06-14 09:00:00,1749891600000,105156.18,105181.87,104894.75,104918.82,42.53584839
2025-06-14 10:00:00,1749895200000,104918.81,105173.68,104875.43,105054.4,65.78470169
2025-06-14 11:00:00,1749898800000,105054.4,105157.94,104998.0,105130.39,84.09402411
2025-06-14 12:00:00,1749902400000,105130.38,105154.13,104788.0,105099.3,98.72920986
2025-06-14 13:00:00,1749906000000,105099.31,105186.06,104945.22,105074.09,49.94786111
2025-06-14 14:00:00,1749909600000,105074.09,105125.8,104891.36,104973.96,48.45173241
2025-06-14 15:00:00,1749913200000,104973.95,105043.49,104680.39,104889.39,94.44465749
2025-06-14 16:00:00,1749916800000,104889.39,104966.07,104410.29,104500.9,150.4338623
2025-06-14 17:00:00,1749920400000,104500.88,104778.89,104444.0,104660.81,72.08003839
2025-06-14 18:00:00,1749924000000,104660.81,105037.3,104377.14,104938.41,301.2894074
2025-06-14 19:00:00,1749927600000,104938.41,105096.07,104690.83,104706.36,112.01574562
2025-06-14 20:00:00,1749931200000,104706.35,105048.21,104351.72,104944.7,137.91957624
2025-06-14 21:00:00,1749934800000,104944.69,105523.1,104899.23,105382.68,158.20541309
2025-06-14 22:00:00,1749938400000,105382.17,105545.42,105333.01,105477.75,79.77962025
2025-06-14 23:00:00,1749942000000,105477.75,105536.65,105393.92,105465.42,49.72136351
2025-06-15 00:00:00,1749945600000,105465.42,105728.48,105296.28,105695.89,79.72567713
2025-06-15 01:00:00,1749949200000,105695.89,105747.02,105423.52,105474.35,64.49765363
2025-06-15 02:00:00,1749952800000,105474.35,105688.82,105468.64,105527.78,42.59449688
